X,avg,band15,band20,band25
1971,21.60060556,28.34847234,20.15276631,16.30057803
1976,20.66257023,26.03410002,20.12287382,15.83073685
1981,19.7245349,23.7197277,20.09298133,15.36089566
1986,20.14523072,23.16852396,19.02281048,18.24435773
1991,21.45782739,24.10743412,20.73833774,19.52771032
1995,23.38308458,26.77228566,23.28587578,20.09109229
2001,20.23357472,23.51463136,19.71598368,17.47010912
2006,20.33127939,22.50517499,20.35695374,18.13170943
2011,20.64437334,23.63663292,20.41567857,17.88080853
2016,20.95746728,24.76809084,20.47440339,17.62990762
