X,avg,band15,band20,band25
1971,15.61483634,19.19936337,16.04041243,11.60473324
1976,17.37617847,22.78607994,16.54718747,12.795268
1981,19.13752059,26.37279651,17.0539625,13.98580275
1986,19.38328065,24.75411862,18.0566101,15.33911324
1991,20.24344661,23.77854422,19.88982788,17.06196773
1995,20.73320095,24.74318683,20.3589912,17.09742483
2001,22.95205685,28.31308359,23.43626955,17.10681741
2006,22.66863663,26.1102765,23.19258036,18.70305303
2011,21.50023144,24.8637506,22.1356572,17.50128651
2016,20.33182624,23.61722469,21.07873404,16.29951999
