X,avg,band15,band20,band25
1971,16.44225934,20.60884841,15.65574737,13.06218224
1976,17.85408328,21.94790531,17.09656415,14.51778038
1981,19.26590722,23.28696221,18.53738092,15.97337852
1986,21.47590114,25.98551602,21.10984059,17.33234681
1991,22.29854889,26.4828346,22.44382159,17.96899049
1995,24.31269908,28.19384738,23.8856721,20.85857776
2001,22.22394853,25.60955371,21.98383469,19.0784572
2006,21.92605152,25.46388941,21.83459348,18.47967167
2011,21.52194717,24.85524011,21.58385148,18.12674992
2016,21.11784282,24.24659081,21.33310948,17.77382817
