X,avg,band15,band20,band25
1971,19.75653777,26.70825731,17.85651227,14.70484374
1976,20.49674247,27.11373541,19.72391018,14.65258182
1981,21.23694716,27.51921351,21.59130808,14.6003199
1986,22.35072219,27.66499562,22.5707715,16.81639946
1991,24.50971964,28.19028514,24.73850122,20.60037255
1995,28.36956804,31.24236993,27.91371204,25.95262215
2001,28.66619055,32.50820089,28.97364822,24.51672255
2006,27.62914222,32.32127548,28.97001681,21.59613436
2011,27.41052995,31.60630433,28.84662114,21.77866439
2016,27.19191768,30.89133317,28.72322546,21.96119442
