X,avg,band15,band20,band25
1971,15.83045436,19.65687814,17.46623744,10.36824749
1976,15.04797024,18.98320646,15.44405582,10.71664844
1981,14.26548612,18.30953478,13.4218742,11.06504939
1986,18.06194629,23.60414807,16.06116796,14.52052286
1991,20.65161418,27.07862943,20.47138047,14.40483264
1995,21.94690159,27.49782483,21.47440545,16.86847448
2001,21.89272238,29.41266183,20.65681556,15.60868976
2006,21.5965193,28.37047949,21.30241252,15.11666587
2011,21.55885235,28.3487628,21.26141229,15.06638196
2016,21.52118541,28.32704611,21.22041205,15.01609805
