X,avg,band15,band20,band25
1971,14.27589979,17.68103582,14.04416705,11.10249651
1976,16.84358297,21.1348592,16.19002793,13.20586179
1981,19.41126615,24.58868258,18.3358888,15.30922706
1986,20.90938894,25.24796213,20.37206821,17.10813649
1991,20.80338985,24.99633345,20.79886777,16.61496832
1995,22.89832557,27.22497596,22.3277758,19.14222494
2001,22.56695829,25.92000883,23.10654961,18.67431641
2006,20.18063882,22.94437567,20.2940481,17.30349269
2011,19.85007987,22.94923258,19.71949975,16.8815073
2016,19.51952093,22.95408948,19.14495139,16.45952191
