X,avg,band15,band20,band25
1971,14.50614606,17.82212581,14.45119306,11.24511931
1976,16.31777772,20.03266214,15.66853069,13.25214034
1981,18.12940938,22.24319846,16.88586831,15.25916137
1986,21.20514531,25.60064645,20.45909403,17.55569545
1991,21.91752713,26.3506082,21.9117816,17.49019157
1995,20.72203417,25.27552633,20.16051619,16.73005998
2001,21.10847502,25.63068406,20.98985106,16.70488994
2006,19.39903586,24.40129014,18.42367788,15.37213957
2011,19.19804485,24.21564658,18.36057355,15.01791442
2016,18.99705383,24.03000302,18.29746921,14.66368927
