X,avg,band15,band20,band25
1971,19.4742699,24.25937622,20.74348101,13.41995248
1976,20.11319074,24.56553539,21.89391491,13.88012192
1981,20.75211157,24.87169455,23.04434881,14.34029136
1986,21.66388084,26.58104648,21.09472526,17.31587077
1991,20.87896101,27.65434058,18.88985875,16.0926837
1995,23.81097871,28.34364497,24.88542621,18.20386496
2001,23.96043763,26.96035732,24.20816576,20.71278981
2006,24.47447714,26.75948783,24.61418246,22.04976114
2011,25.12313293,28.851953,24.90232428,21.61512153
2016,25.77178872,30.94441816,25.19046609,21.18048192
