X,avg,band15,band20,band25
1971,22.04514176,26.11890999,23.30718415,16.70933113
1976,23.84426969,31.613026,24.89987401,15.01990905
1981,25.64339761,37.10714201,26.49256387,13.33048697
1986,31.71876467,40.62839442,31.6269059,22.90099368
1991,29.06291155,36.12128022,29.71111675,21.35633767
1995,30.94079547,37.79674624,30.111244,24.91439619
2001,33.15547023,41.95592948,34.16947813,23.34100309
2006,39.68051477,45.27391325,40.77167477,32.99595629
2011,38.15530742,44.14340389,39.01266572,31.30985267
2016,36.63010008,43.01289453,37.25365666,29.62374904
