X,avg,band15,band20,band25
1971,18.77032731,27.30260882,18.12331327,10.88505986
1976,21.56826073,28.87666959,21.07430039,14.75381222
1981,24.36619414,30.45073036,24.02528751,18.62256457
1986,26.50633612,31.78182332,26.21263221,21.52455282
1991,25.36301769,32.85875411,24.37680828,18.85349069
1995,27.13646148,34.95942586,27.17450787,19.27545069
2001,28.19027262,36.30610867,26.81966475,21.44504444
2006,30.7992832,39.73777982,29.29366922,23.36640056
2011,31.2315973,39.71622196,29.68358248,24.29498748
2016,31.66391141,39.69466409,30.07349573,25.2235744
