X,avg,band15,band20,band25
1971,24.89847566,36.41339533,25.10446707,13.17756459
1976,25.5453119,35.08435537,25.08880749,16.46277286
1981,26.19214814,33.75531541,25.0731479,19.74798112
1986,26.97451509,35.69265896,27.37545706,17.85542926
1991,29.36905956,36.4321536,30.10459951,21.57042556
1995,31.63588665,36.95290787,31.41510169,26.53965038
2001,32.37222552,37.8560275,32.05790856,27.20274049
2006,32.00878824,37.47063474,32.21995836,26.33577162
2011,31.09882477,36.50829166,30.79372678,25.99445587
2016,30.18886129,35.54594857,29.36749519,25.65314011
