X,avg,band15,band20,band25
1971,17.0291562,23.75942211,14.08605528,13.24199121
1976,18.22293916,23.7495611,16.14917432,14.77008205
1981,19.41672211,23.73970009,18.21229336,16.29817288
1986,21.17375943,26.9395417,18.91582538,17.66591122
1991,24.1909289,27.27470786,24.60091107,20.69716776
1995,24.82115236,29.58417923,24.42720418,20.45207367
2001,25.59366457,31.64102216,23.77482546,21.36514607
2006,25.50333444,30.12403174,25.23562863,21.15034295
2011,26.20632322,31.07094235,25.96468936,21.58333796
2016,26.909312,32.01785295,26.69375009,22.01633296
