X,avg,band15,band20,band25
1971,21.52181248,29.79609544,20.39479393,14.37454808
1976,24.19198882,30.74506805,23.23202873,18.5988697
1981,26.86216517,31.69404065,26.06926352,22.82319132
1986,26.80616761,32.96531895,25.91165776,21.54152612
1991,24.75745687,30.59901177,23.69125203,19.9821068
1995,25.47208168,31.36272762,25.30728313,19.74623429
2001,26.16251483,33.52972189,24.52945828,20.42836431
2006,28.19419029,36.70720288,26.53785658,21.3375114
2011,27.41262655,35.19438348,26.44183605,20.60166012
2016,26.63106281,33.68156407,26.34581551,19.86580884
