X,avg,band15,band20,band25
1971,56.35425268,45.53261767,56.54004955,66.99009083
1976,55.49316009,42.35287398,54.97725218,69.14935411
1981,54.63206749,39.17313029,53.4144548,71.30861738
1986,48.13600461,36.20308163,49.35028362,58.85464859
1991,49.47926106,39.77128566,49.55054551,59.11595201
1995,45.67611995,35.4309681,46.60288022,54.99451153
2001,46.61095505,34.52943917,46.11453819,59.18888779
2006,39.98820584,32.22091176,38.87137149,48.87233428
2011,41.20031924,32.2199632,40.57165572,50.80933881
2016,42.41243264,32.21901463,42.27193995,52.74634334
