X,avg,band15,band20,band25
1971,65.61483634,53.49802782,65.83627431,77.51020691
1976,61.05556081,48.33725048,62.37851215,72.4509198
1981,56.49628527,43.17647313,58.92074999,67.39163268
1986,54.11038323,43.46405806,55.73075769,63.13633394
1991,54.3935357,43.36270167,55.73336385,64.08454158
1995,52.13033757,40.29738731,52.46650093,63.62712447
2001,48.85767053,35.38080774,49.7440657,61.44813815
2006,46.53208017,34.15194368,47.51375042,57.93054642
2011,47.26817126,35.42002745,48.18076033,58.20372602
2016,48.00426235,36.68811122,48.84777023,58.47690561
