X,avg,band15,band20,band25
1971,67.14038945,56.58369975,68.44770729,76.38976131
1976,66.72909061,57.26723245,68.40676987,74.51326952
1981,66.31779177,57.95076514,68.36583244,72.63677773
1986,60.76429427,49.45631024,65.02300666,67.81356592
1991,55.15745692,45.64666271,54.92770846,64.8979996
1995,53.23194606,42.91799594,54.09839037,62.67945186
2001,52.51361305,38.946316,55.56835898,63.02616417
2006,52.90014626,41.50548876,53.46195885,63.73299118
2011,52.23482443,40.58029485,52.77389836,63.35028009
2016,51.5695026,39.65510094,52.08583786,62.96756899
