X,avg,band15,band20,band25
1971,66.11447081,51.90985683,65.93464103,80.49891456
1976,59.86524562,46.14781382,59.65332539,73.79459766
1981,53.61602043,40.3857708,53.37200975,67.09028075
1986,48.76005045,37.61731317,49.11483772,59.54800047
1991,48.53936896,37.26277426,48.28368826,60.07164437
1995,44.59647896,34.88065534,44.71002845,54.19875309
2001,41.55323392,31.48805161,40.43009895,52.74155119
2006,41.11925593,31.62449752,40.9010613,50.83220898
2011,41.73521446,32.12404981,41.63278917,51.44880441
2016,42.35117299,32.62360209,42.36451703,52.06539984
