X,avg,band15,band20,band25
1971,63.97204146,52.38177874,65.15401302,74.38033261
1976,59.49023346,49.22226982,61.09944059,68.14898996
1981,55.00842545,46.06276089,57.04486816,61.91764731
1986,51.98868708,41.4340346,53.62924822,60.90277843
1991,53.32501601,43.05038003,54.39696636,62.52770163
1995,53.80588415,43.36174605,54.53220067,63.52370573
2001,52.72901015,40.83959404,54.48069066,62.86674575
2006,52.40677385,38.89150698,55.03846554,63.29034904
2011,53.38932861,40.58996995,55.19759041,64.38042547
2016,54.37188336,42.28843291,55.35671528,65.47050189
