X,avg,band15,band20,band25
1971,55.46933742,43.8238744,56.41673434,66.16740353
1976,54.27874518,43.81707172,53.6404631,65.37870073
1981,53.08815294,43.81026904,50.86419185,64.58999793
1986,50.8184697,40.29367581,52.37712375,59.78460953
1991,49.80955404,35.0559435,52.59482622,61.7778924
1995,44.30504634,33.35242896,43.01099908,56.55171097
2001,41.72520093,33.30059121,38.71230795,53.16270363
2006,41.62152883,31.63437461,41.25095455,51.97925731
2011,40.83730187,28.51112013,41.71623213,52.28455337
2016,40.05307492,25.38786564,42.1815097,52.58984942
